  sid  | stid |   name    | ord | part | opt 
  6998 |   23 | rateus-pl |   1 |    0 |  31
  6998 |   23 | rateus-pl |   1 |    1 |  51
  6998 |   23 | rateus-pl |   1 |    2 |  26
  6998 |   23 | rateus-pl |   1 |    3 |  71
  6998 |   23 | rateus-pl |   1 |    4 |  58
  6999 |   23 | rateus-pl |   2 |    0 |  74
  6999 |   23 | rateus-pl |   2 |    1 |  13
  6999 |   23 | rateus-pl |   2 |    2 |   1
  6999 |   23 | rateus-pl |   2 |    3 |   6
  6999 |   23 | rateus-pl |   2 |    4 |  44
  7000 |   23 | rateus-pl |   3 |    0 |  97
  7000 |   23 | rateus-pl |   3 |    1 |  47
  7000 |   23 | rateus-pl |   3 |    2 |   5
  7000 |   23 | rateus-pl |   3 |    3 |  48
  7000 |   23 | rateus-pl |   3 |    4 |  58
  7001 |   23 | rateus-pl |   0 |    0 |   2
  7001 |   23 | rateus-pl |   0 |    1 |  93
  7001 |   23 | rateus-pl |   0 |    2 |  96
  7001 |   23 | rateus-pl |   0 |    3 |   1
  7001 |   23 | rateus-pl |   0 |    4 |   5
  7002 |   23 | rateus-pl |   1 |    0 |  14
  7002 |   23 | rateus-pl |   1 |    1 |  67
  7002 |   23 | rateus-pl |   1 |    2 |  45
  7002 |   23 | rateus-pl |   1 |    3 |  99
  7002 |   23 | rateus-pl |   1 |    4 |   2
  7003 |   23 | rateus-pl |   2 |    0 |  96
  7003 |   23 | rateus-pl |   2 |    1 |  51
  7003 |   23 | rateus-pl |   2 |    2 |  31
  7003 |   23 | rateus-pl |   2 |    3 |  27
  7003 |   23 | rateus-pl |   2 |    4 |  86
  7004 |   23 | rateus-pl |   3 |    0 |  94
  7004 |   23 | rateus-pl |   3 |    1 |  68
  7004 |   23 | rateus-pl |   3 |    2 |   1
  7004 |   23 | rateus-pl |   3 |    3 |   7
  7004 |   23 | rateus-pl |   3 |    4 |  97
  7005 |   23 | rateus-pl |   0 |    0 |  17
  7005 |   23 | rateus-pl |   0 |    1 |  81
  7005 |   23 | rateus-pl |   0 |    2 |  85
  7005 |   23 | rateus-pl |   0 |    3 |  38
  7005 |   23 | rateus-pl |   0 |    4 |  16
  7006 |   23 | rateus-pl |   1 |    0 |   8
  7006 |   23 | rateus-pl |   1 |    1 |  95
