  sid  | stid | category 
  8314 |   23 | ANG
  8316 |   23 | NEU
  8340 |   23 | COM
  8343 |   23 | ANG
  8355 |   23 | HOP
  8371 |   23 | NEU
  8386 |   23 | ANG
  8387 |   23 | ANG
  8390 |   23 | HOP
  8391 |   23 | COM
  8402 |   23 | NEU
  8415 |   23 | COM
  8428 |   23 | HOP
  8433 |   23 | NEU
  8461 |   23 | COM
  8463 |   23 | NEU
  8466 |   23 | HOP
  8467 |   23 | HOP
  8487 |   23 | NEU
  8497 |   23 | COM
  8502 |   23 | NEU
  8509 |   23 | NEU
  8511 |   23 | ANG
  8515 |   23 | ANG
  8526 |   23 | HOP
  8537 |   23 | COM
  8544 |   23 | HOP
  8548 |   23 | COM
  8553 |   23 | NEU
  8555 |   23 | ANG
  8581 |   23 | COM
  8585 |   23 | HOP
  8591 |   23 | NEU
  8598 |   23 | ANG
  8601 |   23 | COM
  8615 |   23 | HOP
  8631 |   23 | NEU
  8642 |   23 | ANG
  8649 |   23 | COM
  8650 |   23 | HOP
  8655 |   23 | NEU
  8676 |   23 | ANG
  8686 |   23 | COM
  8691 |   23 | HOP
  8704 |   23 | COM
  8706 |   23 | HOP
  8722 |   23 | NEU
  8741 |   23 | COM
  8759 |   23 | HOP
  8762 |   23 | NEU
  8764 |   23 | ANG
  8765 |   23 | COM
  8773 |   23 | HOP
  8783 |   23 | ANG
  8792 |   23 | COM
  8798 |   23 | HOP
  8805 |   23 | NEU
  8808 |   23 | ANG
  8819 |   23 | COM
  8853 |   23 | HOP
  8861 |   23 | NEU
  8884 |   23 | COM
  8891 |   23 | HOP
  8906 |   23 | NEU
  8908 |   23 | ANG
  8912 |   23 | COM
  8916 |   23 | HOP
  8928 |   23 | NEU
  8939 |   23 | ANG
  8952 |   23 | HOP
  8961 |   23 | NEU
  8969 |   23 | ANG
  8977 |   23 | COM
  8980 |   23 | HOP
  8987 |   23 | NEU
  9004 |   23 | ANG
  9013 |   23 | COM
  9016 |   23 | HOP
  9025 |   23 | NEU
  9044 |   23 | ANG
  9049 |   23 | COM
  9067 |   23 | HOP
  9072 |   23 | HOP
  9078 |   23 | NEU
  9082 |   23 | ANG
  9088 |   23 | ANG
  9095 |   23 | COM
  9098 |   23 | HOP
  9111 |   23 | NEU
  9126 |   23 | COM
  9128 |   23 | COM
  9131 |   23 | HOP
  9139 |   23 | NEU
  9154 |   23 | ANG
  9165 |   23 | COM
  9185 |   23 | NEU
  9195 |   23 | ANG
  9201 |   23 | COM
