 sid  |   code   | stid |   name    | ord |  val  
 6908 | swrUChZh |   23 | demo-2-pl |   4 | 5
 6908 | swrUChZh |   23 | demo-2-pl |   3 | 2
 6908 | swrUChZh |   23 | demo-2-pl |   2 | 1988
 6909 | swrhX9fK |   23 | demo-2-pl |   3 | 3
 6909 | swrhX9fK |   23 | demo-2-pl |   2 | 2003
 6909 | swrhX9fK |   23 | demo-2-pl |   0 | 0
 6909 | swrhX9fK |   23 | demo-2-pl |   9 | 4
 6909 | swrhX9fK |   23 | demo-2-pl |   1 | 
 6909 | swrhX9fK |   23 | demo-2-pl |   8 | 0
 6909 | swrhX9fK |   23 | demo-2-pl |   7 | 0
 6909 | swrhX9fK |   23 | demo-2-pl |   6 | 1
 6909 | swrhX9fK |   23 | demo-2-pl |   4 | 4
 6910 | swrLucgH |   23 | demo-2-pl |   2 | 1973
 6910 | swrLucgH |   23 | demo-2-pl |   9 | 4
 6910 | swrLucgH |   23 | demo-2-pl |   8 | 0
 6910 | swrLucgH |   23 | demo-2-pl |   7 | 1
 6910 | swrLucgH |   23 | demo-2-pl |   6 | 0
 6910 | swrLucgH |   23 | demo-2-pl |   4 | 3
 6910 | swrLucgH |   23 | demo-2-pl |   3 | 1
 6910 | swrLucgH |   23 | demo-2-pl |   0 | 0
 6911 | swrK8V86 |   23 | demo-2-pl |   0 | 1
 6911 | swrK8V86 |   23 | demo-2-pl |   3 | 2
 6911 | swrK8V86 |   23 | demo-2-pl |   4 | 4
 6911 | swrK8V86 |   23 | demo-2-pl |   6 | 1
 6911 | swrK8V86 |   23 | demo-2-pl |   7 | 1
 6911 | swrK8V86 |   23 | demo-2-pl |   8 | 1
 6911 | swrK8V86 |   23 | demo-2-pl |   9 | 4
 6911 | swrK8V86 |   23 | demo-2-pl |   2 | 1980
 6912 | swr8ed4a |   23 | demo-2-pl |   7 | 0
 6912 | swr8ed4a |   23 | demo-2-pl |   9 | 5
 6912 | swr8ed4a |   23 | demo-2-pl |   8 | 0
 6912 | swr8ed4a |   23 | demo-2-pl |   6 | 0
 6912 | swr8ed4a |   23 | demo-2-pl |   4 | 4
 6912 | swr8ed4a |   23 | demo-2-pl |   3 | 3
 6912 | swr8ed4a |   23 | demo-2-pl |   2 | 1990
 6912 | swr8ed4a |   23 | demo-2-pl |   0 | 1
 6913 | swrwqMJC |   23 | demo-2-pl |   7 | 1
 6913 | swrwqMJC |   23 | demo-2-pl |   6 | 0
 6913 | swrwqMJC |   23 | demo-2-pl |   3 | 0
 6913 | swrwqMJC |   23 | demo-2-pl |   9 | 5
 6913 | swrwqMJC |   23 | demo-2-pl |   8 | 0
 6913 | swrwqMJC |   23 | demo-2-pl |   2 | 1981
 6913 | swrwqMJC |   23 | demo-2-pl |   0 | 0
 6913 | swrwqMJC |   23 | demo-2-pl |   4 | 6
 6914 | swrSmrvz |   23 | demo-2-pl |   6 | 1
 6914 | swrSmrvz |   23 | demo-2-pl |   7 | 1
 6914 | swrSmrvz |   23 | demo-2-pl |   8 | 0
 6914 | swrSmrvz |   23 | demo-2-pl |   9 | 5
 6914 | swrSmrvz |   23 | demo-2-pl |   3 | 0
 6914 | swrSmrvz |   23 | demo-2-pl |   2 | 2003
 6914 | swrSmrvz |   23 | demo-2-pl |   0 | 0
 6914 | swrSmrvz |   23 | demo-2-pl |   4 | 4
 6915 | swrt8LH8 |   23 | demo-2-pl |   6 | 0
 6915 | swrt8LH8 |   23 | demo-2-pl |   7 | 1
 6915 | swrt8LH8 |   23 | demo-2-pl |   8 | 0
 6915 | swrt8LH8 |   23 | demo-2-pl |   3 | 0
 6915 | swrt8LH8 |   23 | demo-2-pl |   4 | 4
 6915 | swrt8LH8 |   23 | demo-2-pl |   9 | 5
 6915 | swrt8LH8 |   23 | demo-2-pl |   2 | 1977
 6915 | swrt8LH8 |   23 | demo-2-pl |   0 | 1
 6916 | swrs8waY |   23 | demo-2-pl |   3 | 2
 6916 | swrs8waY |   23 | demo-2-pl |   4 | 6
 6916 | swrs8waY |   23 | demo-2-pl |   6 | 1
 6916 | swrs8waY |   23 | demo-2-pl |   7 | 2
 6916 | swrs8waY |   23 | demo-2-pl |   8 | 1
 6916 | swrs8waY |   23 | demo-2-pl |   9 | 2
