 sid  | stid | category | ord | mh | fh 
 6924 |   23 | ANG      |   5 |  1 |  0
 7501 |   23 | ANG      |   3 |  0 |  0
 6924 |   23 | ANG      |   6 |  0 |  0
 7467 |   23 | ANG      |  12 |  0 |  0
 6924 |   23 | ANG      |   7 |  0 |  0
 6924 |   23 | ANG      |   8 |  1 |  0
 7579 |   23 | ANG      |  14 |  0 |  0
 7579 |   23 | ANG      |  13 |  1 |  0
 7579 |   23 | ANG      |  12 |  0 |  0
 7579 |   23 | ANG      |  11 |  1 |  0
 7467 |   23 | ANG      |  11 |  0 |  0
 6964 |   23 | ANG      |  13 |  0 |  0
 6964 |   23 | ANG      |  14 |  0 |  0
 6924 |   23 | ANG      |   9 |  0 |  0
 6924 |   23 | ANG      |  10 |  0 |  0
 6924 |   23 | ANG      |  11 |  0 |  1
 6924 |   23 | ANG      |  12 |  0 |  0
 6924 |   23 | ANG      |  13 |  0 |  0
 6924 |   23 | ANG      |  14 |  0 |  0
 7467 |   23 | ANG      |  10 |  0 |  0
 6897 |   23 | ANG      |   9 |  1 |  0
 7379 |   23 | ANG      |   1 |  0 |  0
 7158 |   23 | ANG      |   0 |  0 |  0
 7467 |   23 | ANG      |   9 |  1 |  0
 7048 |   23 | ANG      |   0 |  0 |  0
 7048 |   23 | ANG      |   1 |  0 |  1
 7048 |   23 | ANG      |   2 |  0 |  0
 7048 |   23 | ANG      |   3 |  0 |  0
 7048 |   23 | ANG      |   4 |  0 |  0
 7701 |   23 | ANG      |  14 |  1 |  0
 7701 |   23 | ANG      |  13 |  4 |  0
 7579 |   23 | ANG      |  10 |  1 |  0
 7579 |   23 | ANG      |   9 |  1 |  0
 7701 |   23 | ANG      |  12 |  0 |  0
 7579 |   23 | ANG      |   8 |  1 |  0
 7579 |   23 | ANG      |   7 |  0 |  0
 7579 |   23 | ANG      |   6 |  2 |  0
 7579 |   23 | ANG      |   5 |  3 |  0
 7701 |   23 | ANG      |  11 |  2 |  0
 7579 |   23 | ANG      |   4 |  1 |  0
 7579 |   23 | ANG      |   3 |  1 |  0
